XML Link	titleId	contentId	titleName	region
	PPSA02447	EP0082-PPSA02447_00-BALANWW5E0000002	BALAN WONDERWORLD Demo	['ar-AE', 'ar-BH', 'ar-KW', 'ar-LB', 'ar-OM', 'ar-QA', 'ar-SA', 'da-DK', 'de-AT', 'de-CH', 'de-DE', 'de-LU', 'en-AE', 'en-AU', 'en-BG', 'en-BH', 'en-CY', 'en-CZ', 'en-DK', 'en-FI', 'en-GB', 'en-GR', 'en-HR', 'en-HU', 'en-IE', 'en-IL', 'en-IN', 'en-IS', 'en-KW', 'en-LB', 'en-MT', 'en-NO', 'en-NZ', 'en-OM', 'en-PL', 'en-QA', 'en-RO', 'en-SA', 'en-SE', 'en-SI', 'en-SK', 'en-TR', 'en-ZA', 'es-ES', 'fi-FI', 'fr-BE', 'fr-CH', 'fr-FR', 'fr-LU', 'it-CH', 'it-IT', 'nl-BE', 'nl-NL', 'no-NO', 'pl-PL', 'pt-PT', 'ru-RU', 'ru-UA', 'sv-SE', 'tr-TR']
	PPSA02448	HP0082-PPSA02448_00-BALANWW5AS000002	BALAN WONDERWORLD Demo	['en-HK', 'en-ID', 'en-MY', 'en-SG', 'en-TH', 'en-TW', 'ko-KR', 'zh-HK', 'zh-TW']
	PPSA02445	JP0082-PPSA02445_00-BALANWW500000002	BALAN WONDERWORLD Demo	['ja-JP']
	PPSA02446	UP0082-PPSA02446_00-BALANWW5A0000002	BALAN WONDERWORLD Demo	[]
MISSING	PPSA02058	EP0082-PPSA02058_00	BALAN WONDERWORLD PS4 and PS5	['ar-AE', 'ar-BH', 'ar-KW', 'ar-LB', 'ar-OM', 'ar-QA', 'ar-SA', 'da-DK', 'de-AT', 'de-CH', 'de-DE', 'de-LU', 'en-AE', 'en-AU', 'en-BG', 'en-BH', 'en-CY', 'en-CZ', 'en-DK', 'en-FI', 'en-GB', 'en-GR', 'en-HR', 'en-HU', 'en-IE', 'en-IL', 'en-IN', 'en-IS', 'en-KW', 'en-LB', 'en-MT', 'en-NO', 'en-NZ', 'en-OM', 'en-PL', 'en-QA', 'en-RO', 'en-SA', 'en-SE', 'en-SI', 'en-SK', 'en-TR', 'en-ZA', 'es-ES', 'fi-FI', 'fr-BE', 'fr-CH', 'fr-FR', 'fr-LU', 'it-CH', 'it-IT', 'nl-BE', 'nl-NL', 'no-NO', 'pl-PL', 'pt-PT', 'ru-RU', 'ru-UA', 'sv-SE', 'tr-TR']
MISSING	PPSA02059	HP0082-PPSA02059_00	BALAN WONDERWORLD PS4 and PS5	['en-HK', 'en-ID', 'en-MY', 'en-SG', 'en-TH', 'en-TW', 'ko-KR', 'zh-HK', 'zh-TW']
MISSING	PPSA02057	UP0082-PPSA02057_00	BALAN WONDERWORLD PS4 and PS5	['en-AR', 'en-BR', 'en-CA', 'en-CL', 'en-CO', 'en-MX', 'en-PE', 'en-US', 'es-AR', 'es-BO', 'es-CL', 'es-CO', 'es-CR', 'es-EC', 'es-GT', 'es-HN', 'es-MX', 'es-NI', 'es-PA', 'es-PE', 'es-PY', 'es-SV', 'es-UY', 'fr-CA', 'pt-BR']
MISSING	PPSA01558	JP0102-PPSA01558_00	BIOHAZARD VILLAGE デラックスエディション PS4 and PS5	['ja-JP']
MISSING	PPSA01560	JP0102-PPSA01560_00	BIOHAZARD VILLAGE デラックスエディション Z Version PS4 and PS5	['ja-JP']
	PPSA01463	EP1001-PPSA01463_00-0000000OAKNGSIEE	Borderlands® 3	['ar-AE', 'ar-BH', 'ar-KW', 'ar-LB', 'ar-OM', 'ar-QA', 'ar-SA', 'da-DK', 'de-AT', 'de-CH', 'de-DE', 'de-LU', 'en-AE', 'en-AU', 'en-BG', 'en-BH', 'en-CY', 'en-CZ', 'en-DK', 'en-FI', 'en-GB', 'en-GR', 'en-HR', 'en-HU', 'en-IE', 'en-IL', 'en-IN', 'en-IS', 'en-KW', 'en-LB', 'en-MT', 'en-NO', 'en-NZ', 'en-OM', 'en-PL', 'en-QA', 'en-RO', 'en-SA', 'en-SE', 'en-SI', 'en-SK', 'en-TR', 'en-ZA', 'es-ES', 'fi-FI', 'fr-BE', 'fr-CH', 'fr-FR', 'fr-LU', 'it-CH', 'it-IT', 'nl-BE', 'nl-NL', 'no-NO', 'pl-PL', 'pt-PT', 'ru-RU', 'ru-UA', 'sv-SE', 'tr-TR']
	PPSA01462	UP1001-PPSA01462_00-0000000OAKNGSIEA	Borderlands® 3	['en-AR', 'en-BR', 'en-CA', 'en-CL', 'en-CO', 'en-HK', 'en-ID', 'en-MX', 'en-MY', 'en-PE', 'en-SG', 'en-TH', 'en-TW', 'en-US', 'es-AR', 'es-BO', 'es-CL', 'es-CO', 'es-CR', 'es-EC', 'es-GT', 'es-HN', 'es-MX', 'es-NI', 'es-PA', 'es-PE', 'es-PY', 'es-SV', 'es-UY', 'fr-CA', 'ja-JP', 'ko-KR', 'pt-BR', 'zh-HK', 'zh-TW']
MISSING	PPSA02346	EP0822-PPSA02346_00-BCTWDSIEE0000000	Bridge Constructor: The Walking Dead	['ar-AE', 'ar-BH', 'ar-KW', 'ar-LB', 'ar-OM', 'ar-QA', 'da-DK', 'de-AT', 'de-CH', 'de-DE', 'de-LU', 'en-AE', 'en-AU', 'en-BG', 'en-BH', 'en-CY', 'en-CZ', 'en-DK', 'en-FI', 'en-GB', 'en-GR', 'en-HR', 'en-HU', 'en-IE', 'en-IL', 'en-IN', 'en-IS', 'en-KW', 'en-LB', 'en-MT', 'en-NO', 'en-NZ', 'en-OM', 'en-PL', 'en-QA', 'en-RO', 'en-SE', 'en-SI', 'en-SK', 'en-TR', 'en-ZA', 'es-ES', 'fi-FI', 'fr-BE', 'fr-CH', 'fr-FR', 'fr-LU', 'it-CH', 'it-IT', 'nl-BE', 'nl-NL', 'no-NO', 'pl-PL', 'pt-PT', 'ru-RU', 'ru-UA', 'sv-SE', 'tr-TR']
MISSING	PPSA02347	UP0825-PPSA02347_00-BCTWDSIEA0000000	Bridge Constructor: The Walking Dead	['en-AR', 'en-BR', 'en-CA', 'en-CL', 'en-CO', 'en-MX', 'en-PE', 'en-US', 'es-AR', 'es-BO', 'es-CL', 'es-CO', 'es-CR', 'es-EC', 'es-GT', 'es-HN', 'es-MX', 'es-NI', 'es-PA', 'es-PE', 'es-PY', 'es-SV', 'es-UY', 'fr-CA', 'pt-BR']
MISSING	PPSA01503	EP2104-PPSA01503_00-BSNAX60962576975	Bugsnax	['ar-AE', 'ar-BH', 'ar-KW', 'ar-LB', 'ar-OM', 'ar-QA', 'da-DK', 'de-AT', 'de-CH', 'de-DE', 'de-LU', 'en-AE', 'en-AU', 'en-BG', 'en-BH', 'en-CY', 'en-CZ', 'en-DK', 'en-FI', 'en-GB', 'en-GR', 'en-HR', 'en-HU', 'en-IE', 'en-IL', 'en-IN', 'en-IS', 'en-KW', 'en-LB', 'en-MT', 'en-NO', 'en-NZ', 'en-OM', 'en-PL', 'en-QA', 'en-RO', 'en-SE', 'en-SI', 'en-SK', 'en-TR', 'en-ZA', 'es-ES', 'fi-FI', 'fr-BE', 'fr-CH', 'fr-FR', 'fr-LU', 'it-CH', 'it-IT', 'nl-BE', 'nl-NL', 'no-NO', 'pl-PL', 'pt-PT', 'ru-RU', 'ru-UA', 'sv-SE', 'tr-TR']
	PPSA01540	HP2104-PPSA01540_00-BSNAX16543620005	Bugsnax	['en-HK', 'en-ID', 'en-MY', 'en-SG', 'en-TH', 'en-TW', 'ko-KR', 'zh-HK', 'zh-TW']
	PPSA01539	JP1511-PPSA01539_00-BSNAX27592500802	Bugsnax	['ja-JP']
	PPSA01502	UP2104-PPSA01502_00-BSNAX92769600533	Bugsnax	['en-AR', 'en-BR', 'en-CA', 'en-CL', 'en-CO', 'en-MX', 'en-PE', 'en-US', 'es-AR', 'es-BO', 'es-CL', 'es-CO', 'es-CR', 'es-EC', 'es-GT', 'es-HN', 'es-MX', 'es-NI', 'es-PA', 'es-PE', 'es-PY', 'es-SV', 'es-UY', 'fr-CA', 'pt-BR']
	PPSA02050	EP0002-PPSA02050_00-CODCWTHEGAME0001	Call of Duty®: Black Ops Cold War	['da-DK', 'de-AT', 'de-CH', 'de-DE', 'de-LU', 'en-AU', 'en-BG', 'en-CY', 'en-CZ', 'en-DK', 'en-FI', 'en-GB', 'en-GR', 'en-HR', 'en-HU', 'en-IE', 'en-IL', 'en-IN', 'en-IS', 'en-MT', 'en-NO', 'en-NZ', 'en-PL', 'en-RO', 'en-SE', 'en-SI', 'en-SK', 'en-TR', 'en-ZA', 'es-ES', 'fi-FI', 'fr-BE', 'fr-CH', 'fr-FR', 'fr-LU', 'it-CH', 'it-IT', 'nl-BE', 'nl-NL', 'no-NO', 'pl-PL', 'pt-PT', 'ru-RU', 'ru-UA', 'sv-SE', 'tr-TR']
	PPSA02051	EP0002-PPSA02051_00-CODCWTHEGAME0001	Call of Duty®: Black Ops Cold War	['ar-AE', 'ar-BH', 'ar-KW', 'ar-LB', 'ar-OM', 'ar-QA', 'ar-SA', 'en-AE', 'en-BH', 'en-KW', 'en-LB', 'en-OM', 'en-QA', 'en-SA']
MISSING	PPSA02053	HP0002-PPSA02053_00-CODCWTHEGAME0001	Call of Duty®: Black Ops Cold War	['en-HK', 'en-ID', 'en-MY', 'en-SG', 'en-TH', 'en-TW', 'ko-KR', 'zh-HK', 'zh-TW']
	PPSA02052	JP9201-PPSA02052_00-CODCWTHEGAME0001	Call of Duty®: Black Ops Cold War	['ja-JP']
	PPSA01628	UP0002-PPSA01628_00-CODCWTHEGAME0001	Call of Duty®: Black Ops Cold War	['en-AR', 'en-BR', 'en-CA', 'en-CL', 'en-CO', 'en-MX', 'en-PE', 'en-US', 'es-AR', 'es-BO', 'es-CL', 'es-CO', 'es-CR', 'es-EC', 'es-GT', 'es-HN', 'es-MX', 'es-NI', 'es-PA', 'es-PE', 'es-PY', 'es-SV', 'es-UY', 'fr-CA', 'pt-BR']
